List the type of the recent files in my drive	GET drive.recent
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many Epicentric files did Severo created in jpeg format?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Severo FILTER file.name eq Epicentric COUNT
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Give me the number of files about process support that were last updated this Monday.	GET drive.root.children FILTER file.name eq process support FILTER file.lastModifiedDateTime eq this Monday COUNT
How many files did Bulmer create?	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many pdf files I have in my drive?	GET drive.root.children FILTER file.fileType eq pdf COUNT
Give me the number of files created by Shaquana Hibbitt that were last modified this Monday by Kelsey.	GET drive.root.children FILTER file.createdBy eq Shaquana Hibbitt FILTER file.lastModifiedDateTime eq this Monday FILTER file.lastModifiedBy eq Kelsey COUNT
How many files were created by Jerilyn and were last updated by Christene Reinard?	GET drive.root.children FILTER file.lastModifiedBy eq Christene Reinard FILTER file.createdBy eq Jerilyn COUNT
Give me the number of files created by Bulmer.	GET drive.root.children FILTER file.createdBy eq Bulmer COUNT
How many prohibition files were last edited by Marcoguisepp?	GET drive.root.children FILTER file.name eq prohibition FILTER file.lastModifiedBy eq Marcoguisepp COUNT
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
How many Epicentric files did Severo created in jpeg format?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Severo FILTER file.name eq Epicentric COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
How many files about aggregation process did Nim created?	GET drive.root.children FILTER file.createdBy eq Nim FILTER file.name eq aggregation process COUNT
Provide the number of files created by Efford.	GET drive.root.children FILTER file.createdBy eq Efford COUNT
How many doc files were shared with specific users?	GET drive.root.children FILTER file.fileType eq doc FILTER file.sharedWith eq specific users COUNT
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
Give me the number of files created by Shaquana Hibbitt that were last modified this Monday by Kelsey.	GET drive.root.children FILTER file.createdBy eq Shaquana Hibbitt FILTER file.lastModifiedDateTime eq this Monday FILTER file.lastModifiedBy eq Kelsey COUNT
Give me the size of png files created by Nessel.	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
What are the size of files that were created by Edelmira?	GET drive.root.children FILTER file.createdBy eq Edelmira
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
How many PACKAGING MATERIALS files were modified last Thursday?	GET drive.root.children FILTER file.lastModifiedDateTime eq last Thursday FILTER file.name eq PACKAGING MATERIALS COUNT
Give me the number of Epicentric files Severo created in jpeg format.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Severo FILTER file.name eq Epicentric COUNT
How many files I have in my drive?	GET drive.root.children COUNT
Provide me with the number of document files that were shared with specific users.	GET drive.root.children FILTER file.fileType eq doc FILTER file.sharedWith eq specific users COUNT
What is the size of files created by Charlott Matrone this Wednesday and last edited yesterday?	GET drive.root.children FILTER file.createdBy eq Charlott Matrone FILTER file.lastModifiedDateTime eq yesterday FILTER file.createdDateTime eq this Wednesday
What is the size of last 16 files created this Friday?	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Tell me about the size of top 16 jpeg files that were created this Thursday.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdDateTime eq this Thursday TOP 16
Provide me the sizes of the files that were created by Nickles and shared with anyone in my organization.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.createdBy eq Nickles
Give me the number of jpeg files that were updated this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
How many files did Yonashiro create?	GET drive.root.children FILTER file.createdBy eq Yonashiro COUNT
How many CREDIT files were shared with anyone?	GET drive.root.children FILTER file.name eq CREDIT FILTER file.sharedWith eq anyone COUNT
Give me the number of files that were shared with specific users.	GET drive.root.children FILTER file.sharedWith eq specific users COUNT
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
Give me the number of Freshwater files created by Gaston.	GET drive.root.children FILTER file.createdBy eq Gaston FILTER file.name eq Freshwater COUNT
Give me the number of image files created on last Tuesday.	GET drive.root.children FILTER file.createdDateTime eq last Tuesday FILTER file.fileType eq jpeg COUNT
What is the size of files created by Charlott Matrone this Wednesday and last edited yesterday?	GET drive.root.children FILTER file.createdBy eq Charlott Matrone FILTER file.lastModifiedDateTime eq yesterday FILTER file.createdDateTime eq this Wednesday
Give me the number of presentation files named Prototyping that were lastly edited by Theola Kuszynski and created by Daughetee.	GET drive.root.children FILTER file.name eq Prototyping FILTER file.createdBy eq Daughetee FILTER file.fileType eq ppt FILTER file.lastModifiedBy eq Theola Kuszynski COUNT
Give me the size of the top 16 files created this Friday in the order newest to oldest.	GET drive.root.children FILTER file.createdDateTime eq this Friday TOP 16 ORDERBY file.createdDateTime desc
Give me the number of files I have in my drive.	GET drive.root.children COUNT
Provide me the number of jpeg files that were modified this Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq this Friday FILTER file.fileType eq jpeg COUNT
Give me the size of top 2 pdf files. 	GET drive.root.children FILTER file.fileType eq pdf TOP 2
How many files were created by Jerilyn and were last updated by Christene Reinard?	GET drive.root.children FILTER file.lastModifiedBy eq Christene Reinard FILTER file.createdBy eq Jerilyn COUNT
